dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1Bn [O] biol-chem-ang (ang-niem),ang-biol-chem,ang-niem,110.65,,
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1Cn [O] biol-geogr-ang (ang-niem),ang-biol-geogr,ang-niem,98.45,,
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1Ah [O] hist-ang-pol (ang-hisz),ang-hist-pol,ang-hisz,120.75,,
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1Ch [O] biol-geogr-ang (ang-hisz),ang-biol-geogr,ang-hisz,123.50,,
Bielany,LO,XXXIX LO im. Lotnictwa Polskiego,1Bh [O] biol-chem-ang (ang-hisz),ang-biol-chem,ang-hisz,126.40,,
Mokotów,BS I st.,Branżowa Szkoła I stopnia nr 31,"1Aw [O] wielozawodowa (ang,ros)",wielozawodowa,ang-ros,52.20,,
Mokotów,BS I st.,Branżowa Szkoła I stopnia nr 31,1A [O] Fryzjer (ang),Fryzjer,ang,41.10,,
Mokotów,BS I st.,Branżowa Szkoła I stopnia nr 31,"1Bw [O] wielozawodowa (ang,ros)",wielozawodowa,ang-ros,32.05,,
Mokotów,BS I st.,Branżowa Szkoła I stopnia nr 31,"1Cw [O] wielozawodowa (ang,ros)",wielozawodowa,ang-ros,27.35,,
Mokotów,BS I st.,Branżowa Szkoła I stopnia nr 4,1BA [O] Fryzjer (ang*),Fryzjer,ang,33.80,,
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1M-niem [O] biol-chem-mat (ang-niem),biol-chem-mat,ang-niem,171.45,26,31.67
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1M-hiszp [O] biol-chem-mat (ang-hisz),biol-chem-mat,ang-hisz,174.85,26,31.67
